tw_id,sentiment_labels,sentiment_winner,stance_labels,stance_winner
1301658231023046659,3|3|3|3,3,1|1|1|1,1
1301620057366294528,0|0|0|0,0,NA|NA|NA|NA,NA
926375117344649217,1|1|1|1,1,1|1|0|1,1
926185593587097602,1|2|1|1,1,NA|NA|NA|NA,NA
1240026888963309570,0|0|0|0,0,0|0|0|0,0
1239678846502350849,1|2|0|0,0,NA|NA|NA|NA,NA
1285544059193438208,3|1|3|3,3,1|1|1|1,1
1285375114540875777,1|1|3|3,-1,NA|NA|NA|NA,NA
1267845169551941633,1|1|1|1,1,1|1|1|1,1
1288138950725505024,1|1|1|1,1,1|1|1|1,1
1287741650597548032,4|0|1|0,0,NA|NA|NA|NA,NA
1296175528706269198,1|1|1|1,1,1|1|1|1,1
1283149554389602304,1|1|1|1,1,NA|NA|NA|NA,NA
1267819204427702275,3|3|3|3,3,1|1|1|3,1
1287399426093449217,1|3|1|1,1,1|1|1|1,1
1287388317324017664,1|1|4|1,1,NA|NA|NA|NA,NA
1260511319469457408,3|3|3|3,3,1|1|1|3,1
1260369338487451648,0|0|0|0,0,NA|NA|NA|NA,NA
1267882551374381059,1|1|1|3,1,1|1|1|1,1
1267874698509135874,2|2|4|3,2,1|1|3|1,1
1267798031665070082,2|2|0|2,2,NA|NA|NA|NA,NA
1025020910380691456,3|3|3|3,3,1|1|2|1,1
1024758087050321920,0|0|0|0,0,NA|NA|NA|NA,NA
1269331558554570758,1|1|1|1,1,1|1|1|1,1
1269289028807020545,1|1|1|1,1,NA|NA|NA|NA,NA
1267856758011199488,1|1|1|1,1,1|1|1|1,1
1273640570028797953,1|3|3|3,3,1|1|1|1,1
1265565042197569538,2|2|2|2,2,NA|NA|NA|NA,NA
1260613315564371969,3|3|3|3,3,1|1|1|1,1
1268529092292460544,3|3|1|3,3,1|1|1|1,1
1268523396004012037,3|3|1|3,3,NA|NA|NA|NA,NA
1292844492396138499,0|4|0|0,0,NA|NA|NA|NA,NA
1267829246585528321,1|1|1|1,1,1|1|1|1,1
1268171605299138565,1|1|1|1,1,1|1|1|1,1
1268158349494947842,4|2|1|1,1,NA|NA|NA|NA,NA
1051823341630304257,2|3|3|3,3,3|1|2|3,3
1051820601281789953,0|2|0|0,0,NA|NA|NA|NA,NA
1279166928301568006,1|3|1|3,-1,1|1|2|1,1
1279118619511791622,0|2|0|0,0,NA|NA|NA|NA,NA
1267886424784764928,3|3|3|0,3,1|1|2|0,1
844269162964893700,3|3|3|3,3,3|1|2|3,3
844236862126481410,1|1|1|1,1,NA|NA|NA|NA,NA
1268545545976582147,1|2|3|1,1,0|1|2|1,1
1268528695834271745,3|3|3|3,3,NA|NA|NA|NA,NA
1287394590920769544,1|1|1|1,1,1|1|1|1,1
1267855459618361344,3|1|1|3,-1,1|1|1|1,1
1118517782390431746,1|1|1|1,1,1|1|1|1,1
1118466428175310848,1|1|1|2,1,NA|NA|NA|NA,NA
1301296129091526657,1|1|1|1,1,1|1|1|1,1
1301191057271664643,1|1|1|1,1,NA|NA|NA|NA,NA
1278501722403594246,1|1|1|1,1,1|1|1|1,1
1277981591684308992,0|0|0|0,0,NA|NA|NA|NA,NA
1258031161697329152,1|1|1|1,1,1|1|1|1,1
1257991843779919872,1|1|3|1,1,NA|NA|NA|NA,NA
1267906407975845888,1|1|1|1,1,1|1|1|1,1
1221112327866585089,3|3|3|1,3,0|0|0|1,0
1220782640128720896,1|2|1|1,1,NA|NA|NA|NA,NA
1308476254270652416,3|1|3|1,-1,1|1|1|1,1
1308413252024643586,1|1|3|0,1,NA|NA|NA|NA,NA
1107733951634964480,0|2|0|0,0,0|0|0|0,0
1107686250591473664,1|2|1|1,1,NA|NA|NA|NA,NA
1270106145395478530,3|1|3|3,3,1|1|1|3,1
1264900648203681797,1|1|1|3,1,1|1|1|1,1
1108520458956226560,2|2|2|1,2,3|0|3|3,3
1108321276941254657,1|1|1|1,1,NA|NA|NA|NA,NA
1267822863223930885,3|3|3|3,3,3|3|3|3,3
1268616024171122688,1|1|1|1,1,1|1|1|1,1
1267806510761021440,1|1|1|1,1,1|1|1|1,1
1311314939227901952,1|3|4|1,1,1|1|1|3,1
1311067868201660417,0|0|0|0,0,NA|NA|NA|NA,NA
1269678552938676224,3|3|3|3,3,1|1|1|3,1
1269341111673393154,1|1|1|3,1,NA|NA|NA|NA,NA
1251870823146819584,3|3|3|3,3,1|1|1|1,1
1250877360985067522,1|1|1|1,1,NA|NA|NA|NA,NA
1268193524396236803,1|1|1|1,1,1|1|1|1,1
1196415867816468482,0|0|0|0,0,0|0|0|0,0
1196392469442813952,0|0|0|0,0,NA|NA|NA|NA,NA
1253076781860560897,1|1|1|1,1,1|1|1|1,1
1253019850848571394,1|1|0|0,-1,NA|NA|NA|NA,NA
1291168750360723456,1|3|3|3,3,1|1|1|1,1
1290693360567693312,1|4|4|1,-1,NA|NA|NA|NA,NA
910859164330622976,3|1|3|3,3,1|1|1|1,1
910833708906762240,2|2|2|2,2,NA|NA|NA|NA,NA
1311276754720501762,1|1|1|1,1,1|1|1|1,1
1284513281059823618,1|3|1|1,1,0|1|0|0,0
1284492727548346368,2|2|4|2,2,NA|NA|NA|NA,NA
1126207193131433984,0|0|0|0,0,0|0|0|0,0
1126150058288865281,0|0|0|0,0,NA|NA|NA|NA,NA
1275030251282800640,1|1|1|1,1,1|1|1|1,1
1297227246806106113,3|3|3|4,3,1|1|1|1,1
1297194078090809347,3|3|3|3,3,NA|NA|NA|NA,NA
1266706538250584064,1|1|1|1,1,1|1|1|1,1
1266675852718243841,1|1|1|1,1,NA|NA|NA|NA,NA
1308888346614288391,1|1|1|1,1,1|1|1|1,1
1229376328568274951,1|1|1|1,1,1|1|1|1,1
1229211158973997057,1|1|1|1,1,NA|NA|NA|NA,NA
1265006403535671297,1|1|1|1,1,1|1|1|1,1
1293531652073951232,1|1|1|3,1,1|1|1|1,1
1293282508663148544,1|1|1|1,1,NA|NA|NA|NA,NA
1267828001133060096,1|1|1|1,1,1|1|1|1,1
1254185799958085633,1|1|1|1,1,1|1|1|1,1
1253962687115075584,1|3|1|3,-1,NA|NA|NA|NA,NA
1267824685560983556,1|1|1|1,1,1|1|1|1,1
1267915084464078849,1|1|1|1,1,1|1|1|1,1
1274818562327228422,1|1|1|1,1,1|1|1|1,1
1271220630864695302,1|1|1|1,1,1|1|1|1,1
1271153632755531777,1|1|1|1,1,NA|NA|NA|NA,NA
1267968554365845504,3|3|3|3,3,1|1|1|1,1
1267841144483909632,1|1|1|1,1,1|1|1|1,1
1270065682621837313,1|1|1|3,1,1|1|1|1,1
1267930352208744451,1|1|1|4,1,1|1|1|1,1
1267834747197304832,1|4|1|4,-1,1|1|1|1,1
1301227423573385216,3|3|3|3,3,1|1|1|1,1
1300771452090830850,4|1|4|0,4,NA|NA|NA|NA,NA
1267910635150610432,1|1|1|1,1,1|1|1|1,1
1287403793085235200,3|1|1|1,1,1|1|1|1,1
1276962321538199552,1|1|1|1,1,1|1|1|1,1
1276905667924819968,0|0|0|0,0,NA|NA|NA|NA,NA
1255592763661393921,0|0|0|2,0,0|0|0|3,0
1255552982520926208,2|2|4|2,2,NA|NA|NA|NA,NA
1277598607374536704,4|4|0|0,-1,1|1|1|1,1
1277225356727115777,0|0|0|0,0,NA|NA|NA|NA,NA
1131870775059763201,0|0|0|0,0,0|0|0|0,0
1131851094219513856,0|0|0|2,0,NA|NA|NA|NA,NA
1276169148310134789,2|2|1|2,2,1|1|1|3,1
1275852479679397888,3|1|3|3,3,NA|NA|NA|NA,NA
1287458000442097664,1|1|1|1,1,1|1|1|1,1
1287430401359831040,1|1|1|1,1,NA|NA|NA|NA,NA
1096372780898152449,0|0|0|0,0,0|0|0|0,0
1096135422416244737,0|0|0|0,0,NA|NA|NA|NA,NA
1222555532520775680,0|3|1|4,-1,0|0|1|0,0
1222283346920734721,1|1|1|1,1,NA|NA|NA|NA,NA
1267830701988044805,1|1|1|1,1,1|1|1|1,1
1050802962761703425,0|0|0|0,0,0|0|0|0,0
1050793850560802816,2|2|2|2,2,NA|NA|NA|NA,NA
1288808595367354368,3|3|3|3,3,1|1|1|3,1
1288776271166570496,2|2|2|2,2,NA|NA|NA|NA,NA
1284915296004866051,1|1|1|1,1,1|1|1|1,1
1262898688776642561,0|0|0|0,0,0|0|0|0,0
1262740759272239109,0|0|0|0,0,NA|NA|NA|NA,NA
1275120009283604482,3|2|1|2,2,3|3|3|3,3
1265100642835718144,1|1|1|1,1,3|3|1|0,3
1276590882741944322,1|1|1|1,1,1|1|1|1,1
1276485944183529472,3|3|3|3,3,NA|NA|NA|NA,NA
1267808410201800705,1|1|1|1,1,1|1|1|1,1
1270048624882388992,1|1|1|1,1,1|1|1|1,1
1086279596444536833,1|1|1|1,1,1|1|1|2,1
1086264868964106240,2|2|1|2,2,NA|NA|NA|NA,NA
1269020148314316800,1|1|1|1,1,1|1|1|1,1
1268913471111995392,1|1|1|1,1,NA|NA|NA|NA,NA
1299424830060744712,1|1|3|1,1,1|1|1|1,1
1299423533848760321,4|4|4|0,4,NA|NA|NA|NA,NA
1285514199255392258,1|3|3|3,3,1|1|1|1,1
1276558746156765184,3|3|1|3,3,1|1|1|1,1
1279161492189908998,3|3|3|3,3,1|1|1|3,1
1301014142422257664,3|1|3|4,3,1|1|1|3,1
1300751092968574976,0|0|0|0,0,NA|NA|NA|NA,NA
1256377308925042689,1|1|1|1,1,0|0|0|0,0
1256303701662236673,1|1|1|1,1,NA|NA|NA|NA,NA
1267909867043532806,1|1|1|1,1,1|1|1|1,1
1131933723115630593,1|2|1|2,-1,1|1|1|1,1
1131499959575040000,2|2|0|2,2,NA|NA|NA|NA,NA
1250967476768247810,2|2|2|2,2,3|3|3|3,3
1250770746667945984,2|2|0|2,2,NA|NA|NA|NA,NA
1264880135381098498,0|0|0|0,0,0|0|0|0,0
1267837615698558976,3|3|3|2,3,1|1|1|2,1
1267156365660901377,0|0|0|0,0,NA|NA|NA|NA,NA
1265041686947921920,2|2|2|2,2,3|3|3|3,3
1307051269866094592,1|1|1|1,1,1|1|1|1,1
1307050015639179266,0|0|0|0,0,NA|NA|NA|NA,NA
1170784723616043009,3|3|3|1,3,1|1|1|1,1
1170707114962165761,2|2|2|2,2,NA|NA|NA|NA,NA
1267812387240869888,2|2|2|2,2,1|1|1|1,1
1267649166613905413,1|1|1|1,1,NA|NA|NA|NA,NA
1308044925263544320,1|1|1|1,1,1|1|1|1,1
1307466911115075585,0|0|0|0,0,NA|NA|NA|NA,NA
1267812602953871362,1|1|1|1,1,3|1|3|3,3
1275866605990359040,3|3|3|3,3,1|1|1|1,1
1275426927319359488,3|3|3|3,3,NA|NA|NA|NA,NA
1267950155237675009,3|3|1|3,3,1|1|1|1,1
1287426854639591424,1|1|1|1,1,1|1|1|1,1
1266694572563992577,1|1|1|1,1,1|1|1|1,1
1267845619311349769,1|1|1|1,1,1|1|1|1,1
1268189749073907712,1|1|1|1,1,1|1|1|1,1
1268170937989582850,1|1|1|1,1,NA|NA|NA|NA,NA
1266774738984189952,1|1|1|1,1,1|1|1|1,1
1309024812157800451,3|3|3|3,3,1|1|1|3,1
1267399973970337792,2|1|2|2,2,1|1|1|3,1
1267104573694660609,3|3|2|3,3,NA|NA|NA|NA,NA
1125820788295254016,1|1|1|1,1,0|0|0|1,0
1125751520472064000,1|1|1|2,1,NA|NA|NA|NA,NA
1304924471149633537,1|1|1|1,1,0|1|1|1,1
1304803187094884353,1|4|4|2,4,NA|NA|NA|NA,NA
1267838713880547331,1|1|1|1,1,1|1|1|1,1
1267818581862920195,1|1|1|1,1,1|1|1|1,1
1253034325056139266,1|1|1|1,1,1|1|1|1,1
1252858700387151873,1|1|1|1,1,NA|NA|NA|NA,NA
1267876381825826817,1|1|1|1,1,1|1|1|1,1
1267818887766130697,1|1|4|2,1,0|1|3|3,3
1267820165493780481,1|1|1|1,1,1|1|1|1,1
1269995490227216384,1|1|1|1,1,1|1|1|1,1
1297261337282850816,1|1|1|1,1,1|1|1|1,1
1294275713034379265,1|1|1|1,1,1|1|1|1,1
1293945490065764352,1|1|1|1,1,NA|NA|NA|NA,NA
1269276482460889088,1|1|1|1,1,1|1|1|1,1
1269234385368354817,0|2|1|2,2,NA|NA|NA|NA,NA
1196420042847600641,2|2|1|2,2,1|1|1|1,1
1267896977519529986,1|1|1|1,1,1|1|1|1,1
1267835813020213250,2|2|2|3,2,1|1|1|1,1
1160291764437213185,3|3|3|2,3,1|1|3|3,-1
1160171603306655744,2|2|0|2,2,NA|NA|NA|NA,NA
1205275845524434950,1|1|1|1,1,1|1|1|1,1
1205217404911063042,0|2|1|2,2,NA|NA|NA|NA,NA
1267814875067117577,1|1|1|2,1,1|1|1|1,1
973718378593611776,1|2|2|2,2,1|1|1|1,1
973663345046941696,2|2|2|2,2,NA|NA|NA|NA,NA
1268539508741550080,0|2|3|2,2,0|0|0|3,0
1268514914227945472,3|3|1|3,3,NA|NA|NA|NA,NA
1291412194274545666,3|3|3|2,3,1|1|1|3,1
1291364387043913729,1|1|1|3,1,NA|NA|NA|NA,NA
1266784310830542848,3|3|3|3,3,1|1|1|3,1
1250401604538380289,0|0|0|0,0,0|0|0|0,0
1250401056527462406,1|2|1|1,1,NA|NA|NA|NA,NA
1259587002065981440,0|0|0|0,0,0|0|0|0,0
1267810084803018752,3|3|3|3,3,1|1|1|1,1
1267848261869731840,1|1|1|1,1,1|1|1|1,1
983332771195179009,3|3|3|2,3,3|3|3|3,3
983332003192999936,2|2|2|2,2,NA|NA|NA|NA,NA
1134796214015266817,1|1|1|2,1,3|1|3|3,3
1134566189529796610,1|2|1|2,-1,NA|NA|NA|NA,NA
1233018205142208517,1|1|1|3,1,1|1|1|1,1
1232953918046572546,2|2|0|2,2,NA|NA|NA|NA,NA
1268822217250529280,1|1|1|1,1,1|1|1|1,1
1268517567540465666,1|1|1|1,1,NA|NA|NA|NA,NA
1288074388689100800,2|2|1|0,2,0|0|0|0,0
1267835957493010432,1|1|1|3,1,1|1|1|1,1
1288119336213680128,2|2|1|2,2,NA|NA|NA|NA,NA
1184291368803471360,0|0|0|0,0,0|0|0|0,0
1184217352898072576,0|0|0|2,0,NA|NA|NA|NA,NA
1252194970708180992,1|1|1|1,1,1|1|1|1,1
1252017261948424192,1|1|1|1,1,NA|NA|NA|NA,NA
1313214163678892032,3|1|2|2,2,1|1|1|3,1
1313104905519890432,1|2|1|2,-1,NA|NA|NA|NA,NA
1275541825458233357,1|1|1|1,1,1|1|1|1,1
1275431295137525760,3|3|3|3,3,NA|NA|NA|NA,NA
1310591005326966784,1|1|1|1,1,1|1|1|3,1
1287505895358967809,1|1|1|1,1,1|1|1|1,1
1287485131029192707,1|1|1|1,1,1|1|1|1,1
1267934670446039040,1|1|1|1,1,1|1|1|1,1
1180136082538663939,3|3|3|3,3,1|1|1|3,1
1179483915108700160,3|3|3|3,3,NA|NA|NA|NA,NA
1267914764317003776,1|1|1|3,1,1|1|1|1,1
1291400271709589507,1|1|1|1,1,1|1|1|1,1
1038078492322213889,0|0|0|0,0,0|0|0|0,0
1038026394075389952,0|2|0|0,0,NA|NA|NA|NA,NA
876550989209317376,1|3|3|3,3,1|1|1|1,1
876485001096908801,2|2|2|2,2,NA|NA|NA|NA,NA
1222255052498395136,1|1|1|3,1,1|1|1|1,1
1221872753646673921,1|1|1|1,1,NA|NA|NA|NA,NA
1244974677312839682,3|3|3|3,3,1|1|1|1,1
1244790789995139073,1|1|1|3,1,NA|NA|NA|NA,NA
1267803544926728192,3|3|3|2,3,1|1|1|3,1
1267909900539236355,1|1|1|1,1,1|1|1|1,1
876551609618239489,3|1|3|3,3,1|1|1|3,1
876485087361208326,2|2|1|2,2,NA|NA|NA|NA,NA
936291854412320768,1|1|1|3,1,1|1|1|1,1
934572693554417666,0|0|0|0,0,NA|NA|NA|NA,NA
1132079867716087808,0|3|3|2,3,3|2|0|2,2
1131888248454881280,3|3|3|2,3,NA|NA|NA|NA,NA
1264889846864187392,1|1|1|1,1,1|1|1|1,1
1287517358857302016,1|1|1|3,1,1|1|1|1,1
1301121015347589120,3|3|3|3,3,1|1|1|1,1
1300940444629688320,0|0|0|0,0,NA|NA|NA|NA,NA
1237074658840776704,1|3|3|3,3,1|1|1|1,1
1237070395498512384,0|0|0|0,0,NA|NA|NA|NA,NA
1180986289908142085,0|0|0|0,0,0|0|0|0,0
1180846969784279040,0|0|0|0,0,NA|NA|NA|NA,NA
1268584980927729664,1|1|1|2,1,1|1|1|3,1
1267825590821781506,1|1|1|3,1,1|1|1|1,1
1275340189884448769,1|1|1|1,1,1|1|1|1,1
1272309625086529536,1|1|1|1,1,0|0|0|0,0
1272153627969433601,1|1|1|1,1,NA|NA|NA|NA,NA
1205860941558112257,1|1|1|1,1,1|3|1|1,1
1205796041389465602,0|0|0|2,0,NA|NA|NA|NA,NA
1242973202156072963,3|1|1|1,1,3|3|3|3,3
1242797710241038337,1|1|1|1,1,NA|NA|NA|NA,NA
1267842587936919560,3|3|3|3,3,1|1|1|1,1
1287659048033230848,1|1|1|1,1,1|1|1|1,1
1287378459292041222,1|1|1|1,1,NA|NA|NA|NA,NA
1259495122489786369,1|1|1|1,1,1|1|1|1,1
1259473385215713281,1|4|1|1,1,NA|NA|NA|NA,NA
995439430851874816,0|0|3|2,0,0|3|3|3,3
995438049260687360,0|0|0|0,0,NA|NA|NA|NA,NA
1272309265433231360,1|1|1|1,1,3|1|3|3,3
1272196632231268352,1|1|1|1,1,1|1|1|1,1
1268907607625994241,1|1|1|1,1,3|3|3|3,3
1268902291878350855,3|2|1|2,2,NA|NA|NA|NA,NA
1267856028437303298,3|3|3|2,3,1|1|1|3,1
1268313063842816000,3|3|3|3,3,1|1|1|1,1
1303358042944294914,0|0|0|0,0,NA|NA|NA|NA,NA
1287427710688677888,3|3|3|3,3,1|1|1|1,1
1252996670964600832,1|1|1|1,1,1|1|1|1,1
1252680618716073985,2|2|1|2,2,NA|NA|NA|NA,NA
1287440885542723586,4|0|0|0,0,3|0|0|0,0
1269628643384459267,1|1|1|1,1,1|1|1|1,1
1295467952955953154,1|1|1|2,1,1|0|1|1,1
1295459941281660935,0|2|2|2,2,NA|NA|NA|NA,NA
1260532179530133505,3|3|3|1,3,1|1|1|1,1
1285571642492686340,0|4|0|0,0,0|3|0|0,0
1285518624053252096,0|0|0|0,0,NA|NA|NA|NA,NA
1267828014361919491,1|3|1|1,1,1|1|1|1,1
1265140578293071872,1|1|1|3,1,1|1|1|1,1
1287410584191983618,1|1|1|1,1,1|1|1|1,1
1281742140226392064,1|1|1|3,1,1|1|1|3,1
1281702793934446593,2|2|1|2,2,NA|NA|NA|NA,NA
1005925947076435969,1|1|1|1,1,1|1|1|1,1
1005899645627887617,1|1|1|0,1,NA|NA|NA|NA,NA
1303305899579265025,1|1|1|1,1,1|1|1|1,1
1303130317365096448,1|1|1|1,1,NA|NA|NA|NA,NA
1267830929482936326,1|1|1|1,1,1|1|1|1,1
1289477597634600961,1|1|1|3,1,1|1|1|3,1
1289238921860149249,4|1|4|0,4,NA|NA|NA|NA,NA
1211313994964844545,0|1|1|3,1,NA|NA|NA|NA,NA
1285542152253198336,0|0|0|0,0,0|0|0|0,0
1284537265813954565,3|3|1|3,3,NA|NA|NA|NA,NA
1164318090894745600,1|1|1|1,1,0|0|0|0,0
1164297093458157570,1|1|1|1,1,NA|NA|NA|NA,NA
1276991113937682432,1|1|1|2,1,1|1|1|1,1
1277038753815711744,1|1|1|3,1,1|1|1|1,1
1267839952731213827,1|1|1|1,1,1|1|1|1,1
1304112787019489293,0|0|0|0,0,0|3|0|0,0
1302270004277239808,2|0|0|0,0,NA|NA|NA|NA,NA
1267805558448566276,1|1|1|3,1,1|1|1|1,1
1267876528387502080,1|1|1|1,1,1|1|1|1,1
1267901568202035201,1|1|1|1,1,1|1|1|1,1
1267806046116098048,3|3|1|2,3,1|1|1|1,1
1288638188584566787,1|1|1|1,1,1|1|1|1,1
1287719298660786178,0|0|0|0,0,NA|NA|NA|NA,NA
1268156651250634752,3|3|3|3,3,1|1|1|1,1
1309111998693683206,3|3|3|3,3,1|1|1|3,1
1268233860103487488,1|1|1|1,1,1|1|1|1,1
1268210129322807301,1|1|1|1,1,NA|NA|NA|NA,NA
1284802605277949952,2|2|0|2,2,3|2|3|3,3
1284797423773155334,0|0|0|0,0,NA|NA|NA|NA,NA
1269372336140156930,1|1|1|1,1,1|1|1|1,1
935223808327380994,3|3|3|3,3,1|1|1|1,1
934853475015458816,0|0|0|0,0,NA|NA|NA|NA,NA
922887882473443328,2|2|1|2,2,0|0|0|0,0
922887395950940161,1|1|1|1,1,NA|NA|NA|NA,NA
1273784201783934978,3|3|3|3,3,1|1|1|3,1
1273772206351355906,3|3|3|3,3,NA|NA|NA|NA,NA
1268236107956830208,3|0|3|3,3,1|0|1|1,1
1275166101803057158,1|1|1|1,1,1|1|1|1,1
1264947116847357963,1|0|1|1,1,0|0|0|0,0
1267816753284829187,3|3|3|2,3,1|1|1|3,1
1269353049186844673,1|1|1|1,1,1|1|1|1,1
1268904168045019137,1|1|1|1,1,NA|NA|NA|NA,NA
1267807136563826688,1|1|1|1,1,1|1|1|1,1
1120831440600608769,1|1|1|4,1,1|1|1|3,1
1120758951925174272,2|2|2|2,2,NA|NA|NA|NA,NA
1267813592545411072,3|3|3|3,3,1|1|1|1,1
1275108916402290689,1|1|1|1,1,1|1|1|1,1
1300059642257702913,1|1|1|1,1,1|1|1|1,1
1299725423157403653,3|3|3|3,3,NA|NA|NA|NA,NA
1267854920348205060,1|1|1|1,1,1|1|1|1,1
1283457088606306306,1|1|1|1,1,1|1|1|1,1
1283322080340189184,1|0|1|1,1,NA|NA|NA|NA,NA
1252270645024632833,1|1|1|1,1,1|1|1|1,1
1251978300177735682,1|1|1|1,1,NA|NA|NA|NA,NA
1112991302453547008,2|3|1|2,2,3|1|3|3,3
1111651300851286017,2|2|2|2,2,NA|NA|NA|NA,NA
1307786602358464512,3|3|3|3,3,NA|NA|NA|NA,NA
1310362791413526528,1|1|1|1,1,1|1|1|1,1
1278261469432426498,1|1|1|1,1,1|1|1|1,1
1277964936187047936,1|3|1|3,-1,NA|NA|NA|NA,NA
1267836638769696768,1|1|1|3,1,1|1|1|1,1
1163451048947802113,2|1|2|2,2,3|1|3|3,3
1163178478705008641,0|0|0|0,0,NA|NA|NA|NA,NA
1086622320838541314,0|0|3|0,0,0|0|1|0,0
1278057624727101443,1|1|1|1,1,1|1|1|1,1
1264945369110253568,1|1|1|1,1,0|0|0|0,0
1259561444024164352,1|1|1|1,1,1|1|1|1,1
823725764465999872,2|2|1|2,2,0|0|0|0,0
823694429907222529,2|2|1|2,2,NA|NA|NA|NA,NA
1277993687801364481,3|3|3|3,3,1|1|1|1,1
1311395113596313602,1|1|1|1,1,1|1|1|1,1
1311422162750836736,1|3|1|3,-1,1|1|1|3,1
1304555232840552452,1|1|1|1,1,1|1|1|1,1
1304456140315676672,1|1|1|1,1,NA|NA|NA|NA,NA
1267918675438419968,1|1|1|1,1,1|1|1|1,1
1269455262659874817,2|2|2|2,2,3|1|3|3,3
1309185385839448064,1|1|1|1,1,1|1|1|1,1
1050841468074627072,2|3|2|2,2,3|1|3|3,3
1050803537670795264,2|2|2|2,2,NA|NA|NA|NA,NA
1267849917877362689,1|1|1|1,1,1|1|1|1,1
1298244767780831234,3|4|4|4,4,1|1|1|1,1
1298244064664485888,0|0|0|2,0,NA|NA|NA|NA,NA
1297232113062862848,1|1|1|1,1,1|1|1|1,1
1275447827095674885,1|1|1|1,1,1|1|1|1,1
1275198456886431753,1|1|1|1,1,NA|NA|NA|NA,NA
1309068410207297538,1|1|1|1,1,1|1|1|1,1
1270008936033398786,3|1|1|3,-1,1|1|1|3,1
1304806021257457665,1|1|1|1,1,1|1|1|1,1
1304431034583449602,0|0|1|0,0,NA|NA|NA|NA,NA
1169327565053599746,0|4|0|0,0,0|3|3|3,3
1169220598616272896,2|2|0|0,-1,NA|NA|NA|NA,NA
1303432747764023300,0|0|0|0,0,1|1|1|1,1
863528127238197248,3|0|2|2,2,3|0|3|3,3
863525180861231104,0|0|0|0,0,NA|NA|NA|NA,NA
1278066286296268801,1|1|1|1,1,1|1|1|1,1
1308490820182585354,1|1|1|1,1,1|1|1|1,1
1308007570163093504,1|1|1|1,1,NA|NA|NA|NA,NA
1278116058076008448,1|1|1|1,1,1|1|1|1,1
1313229800237133824,3|3|3|3,3,1|1|1|1,1
1303283540449284096,3|3|3|3,3,1|1|1|3,1
1284797739352694789,0|0|0|0,0,0|0|0|0,0
1267842711337553921,1|1|1|1,1,1|1|1|1,1
1268212616096169988,1|3|3|3,3,1|1|1|1,1
1277352793930686465,0|0|0|0,0,0|0|0|0,0
1277178094659477504,4|0|1|0,0,NA|NA|NA|NA,NA
1267900652006539271,3|3|3|3,3,1|1|1|3,1
1245754229597376512,2|2|2|2,2,0|0|0|0,0
1245747799754526720,1|1|1|1,1,NA|NA|NA|NA,NA
1308526950789656582,3|0|3|3,3,3|0|3|3,3
1268179513642553345,1|3|3|3,3,1|1|1|1,1
1287487141501689857,3|3|3|3,3,1|1|1|1,1
1264896683982434304,1|3|3|3,3,1|1|1|1,1
1287750600206225408,1|1|1|1,1,1|1|1|1,1
1269986578425876480,1|1|1|1,1,1|1|1|1,1
1269922959021539328,1|1|1|3,1,NA|NA|NA|NA,NA
1267190533950234626,3|3|3|3,3,3|3|3|3,3
1267130222748598276,0|4|0|0,0,NA|NA|NA|NA,NA
